Year,Month,Births,cpi index,UnemploymentRate,Maternities,Live Births,BMI (Obesity %),Diabetes %,Induction %,Method of Birth,Preterm%,FulltTerm%,Neonatal mortality %,SGA%,AGA%,LGA%,Unnamed: 1,total,female%
2020,June,,108.584,4.6,45715.0,46188.0,25.9100002299432,6.30839022637441,34.3754498776332,36.0,8.1,91.9,10.7856438085841,4.95380210818548,80.4016830781243,14.6445148136901,,2751865.0,56.2
2024,June,,134.07,4.3,,,,,,,,,,,,,,,
1954,July,"8,173",,,,,,,,,,,,,,,,,
1955,July,"7,783",,,,,,,,,,,,,,,,,
1956,July,"7,862",,,,,,,,,,,,,,,,,
1957,July,"8,383",,,,,,,,,,,,,,,,,
1958,July,"7,821",,,,,,,,,,,,,,,,,
1959,July,"8,587",,,,,,,,,,,,,,,,,
1960,July,"8,483",,,,,,,,,,,,,,,,,
1961,July,"8,426",,,,,,,,,,,,,,,,,
1962,July,"8,780",,,,,,,,,,,,,,,,,
1963,July,"8,956",,,,,,,,,,,,,,,,,
1964,July,"9,216",,,,,,,,,,,,,,,,,
1965,July,"8,596",,,,,,,,,,,,,,,,,
1966,July,"8,064",,,,,,,,,,,,,,,,,
1967,July,"7,898",,,,,,,,,,,,,,,,,
1968,July,"8,126",,,,,,,,,,,,,,,,,
1969,July,"7,696",,,,,,,,,,,,,,,,,
1970,July,"7,721",,,,,,,,,,,,,,,,,
1971,July,"7,329",,4.1,,,,,,,,,,,,,,,
1972,July,"6,341",,4.3,,,,,,,,,,,,,,,
1973,July,"6,426",,3.7,,,,,,,,,,,,,,,
1974,July,"6,234",,3.7,,,,,,,,,,,,,,,
1975,July,"5,998",,4.5,,,,,,,,,,,,,,,
1976,July,"5,551",,5.4,,,,,,,,,,,,,,,
1977,July,"5,091",,5.6,,,,,,,,,,,,,,,
1978,July,"5,283",,5.5,,,,,,,,,,,,,,,
1979,July,"6,058",,5.4,,,,,,,,,,,,,,,
1980,July,"6,019",,6.8,,,,,,,,,,,,,,,
1981,July,"5,929",,9.6,,,,,,,,,,,,,,,
1982,July,"5,549",,10.7,,,,,,,,,,,,,,,
1983,July,"5,498",,11.5,,,,,,,,,,,,,,,
1984,July,"5,798",,11.8,,,,,,,,,,,,,,,
1985,July,"6,034",,11.4,,,,,,,,,,,,,,,
1986,July,"5,723",,11.3,,,,,,,,,,,,,,,
1987,July,"5,955",,10.4,,,,,,,,,,,,,,,
1988,July,"5,503",,8.6,,,,,,,,,,,,,,,
1989,July,"5,326",,7.2,,,,,,,,,,,,,,,
1990,July,"5,957",,7.1,,,,,,,,,,,,,,,
1991,July,"6,167",,8.9,,,,,,,,,,,,,,,
1992,July,"5,966",,9.9,,,,,,,,,,,,,,,
1993,July,"5,581",,10.4,,,,,,,,,,,,,,,
1994,July,"5,138",,9.5,,,,,,,,,,,,,,,
1995,July,"5,057",,8.6,,,,,,,,,,,,,,,
1996,July,"5,247",,8.1,,,,,,,,,,,,,,,
1997,July,"5,276",,6.9,,,,,,,,,,,,,,,
1998,July,"5,085",70.952,6.2,,,,,,,,,,,,,,1845757.0,0.539
1999,July,"4,718",71.877,6.0,,,,,,,,,,,,,,1856330.0,0.546
2000,July,"4,391",72.508,5.4,,,,,,,,,,,,,,1990625.0,0.558
2001,July,"4,582",73.559,5.1,,,,,,,,,,,,,,2086075.0,0.562
2002,July,"4,640",74.372,5.2,,,,,,,,,,,,,,2175115.0,0.566
2003,July,"4,787",75.346,5.0,,,,,,,,,,,,,,2247440.0,0.569
2004,July,"4,590",76.405,4.8,,,,,,,,,,,,,,2287540.0,0.571
2005,July,"4,437",78.193,4.8,,,,,,,,,,,,,,2423590.0,57.3
2006,July,"4,663",80.045,5.4,,,,,,,,,,,,,,2478425.0,57.2
2007,July,"5,071",81.529,5.3,,,,,,,,,,,,,,2399795.0,56.9
2008,July,"5,428",85.145,5.7,,,,,,,,,,,,,,2465185.0,56.6
2009,July,"5,335",86.658,7.6,,,,,,,,,,,,,,25510341.0,56.7
2010,July,"4,912",89.305,7.9,57041.0,57696.0,20.7364501448076,1.09533175740296,23.841764929631,26.5,7.1,92.9,10.7842799572899,7.53619665983819,80.1968681642998,12.2669351758619,,2560000.0,0.564
2011,July,"4,858",93.262,8.1,57371.0,57952.0,21.1977090121632,1.40390310036034,24.523047193225,27.7,7.2,92.8,10.0769550748752,7.4105445116681,79.8254105445116,12.7640449438202,,2500000.0,56.4
2012,July,"5,011",95.65,7.9,55820.0,56406.0,21.0856690023356,2.14327657075748,26.2228818027376,27.3,7.2,92.8,12.0133903920485,7.09116449439001,80.0778818969042,12.8309536087057,,2340275.0,0.562
2013,July,"5,173",98.295,7.6,54709.0,55274.0,21.5330680310782,2.60000749821917,28.5579736283114,29.3,7.4,92.6,11.8285288799063,6.90043604651162,80.4142441860465,12.6853197674418,,2299355.0,56.42
2014,July,"5,158",99.862,6.2,54725.0,55365.0,21.6471378461079,2.88055810813345,30.5282258064516,30.2,7.7,92.3,11.157144407859,6.53032260412307,80.5072872504958,12.9623901453811,,2280830.0,56.5
2015,July,"5,084",100.008,5.4,53981.0,54572.0,22.7280483874025,3.02900547343336,32.4298931802863,31.2,8.2,91.8,11.144224690689,5.94506852599929,80.6411746260122,13.4137568479884,,2315840.0,56.9
2016,July,"4,609",100.571,4.9,53045.0,53644.0,23.7139561707035,3.34110334110334,33.5913474613501,31.7,8.3,91.7,12.3231693908964,5.85373213140723,80.8037566476822,13.3425112209104,,2378020.0,57.1
2017,July,"4,546",103.215,4.4,51415.0,51937.0,24.2762897754469,3.94683523786368,35.0991239210452,32.6,8.3,91.7,11.9845649094027,5.68700058468134,80.6548431105047,13.6581563048138,,2343095.0,56.7
2018,July,"4,473",105.769,4.1,49977.0,50559.0,24.8405695815497,5.3534707307042,33.9263613861386,33.5,8.6,91.4,11.6159963032135,5.17785228242109,81.0740571745987,13.7480905429801,,2383970.0,56.43
2019,July,"4,588",107.949,3.8,48088.0,48648.0,25.0352026105808,5.46910311874475,34.3183636155867,34.4,8.4,91.6,11.315492790601,5.25621741907568,80.870747738652,13.8730348422722,,2552000.0,56.5
2020,July,"9,233",109.072,4.6,45715.0,46188.0,25.9100002299432,6.30839022637441,34.3754498776332,36.0,8.1,91.9,10.7856438085841,4.95380210818548,80.4016830781243,14.6445148136901,,2751865.0,56.2
2021,July,"4,014",111.297,4.6,47113.0,47571.0,27.2210821903013,7.94460330331612,34.3500834414982,37.5,8.1,91.9,9.46133194769204,4.78096040438079,80.4001684919966,14.8188711036225,,2865194.0,56.7
2022,July,"3,587",122.539,3.8,44714.0,45217.0,27.918132395267,8.14410529389304,35.2116466846097,39.2,8.4,91.6,9.31029408673351,4.99867056633874,81.0489231587343,13.9524062749268,,2937155.0,56.9
2023,July,"3,783",130.905,4.1,,,,,,,,,,,,,,,
2020,July,,109.072,4.6,45715.0,46188.0,25.9100002299432,6.30839022637441,34.3754498776332,36.0,8.1,91.9,10.7856438085841,4.95380210818548,80.4016830781243,14.6445148136901,,2751865.0,56.2
2024,July,,133.83,4.3,,,,,,,,,,,,,,,
1954,Aug,"7,557",,,,,,,,,,,,,,,,,
1955,Aug,"7,718",,,,,,,,,,,,,,,,,
1956,Aug,"7,693",,,,,,,,,,,,,,,,,
1957,Aug,"8,309",,,,,,,,,,,,,,,,,
1958,Aug,"7,709",,,,,,,,,,,,,,,,,
1959,Aug,"8,076",,,,,,,,,,,,,,,,,
1960,Aug,"8,554",,,,,,,,,,,,,,,,,
1961,Aug,"8,469",,,,,,,,,,,,,,,,,
1962,Aug,"8,572",,,,,,,,,,,,,,,,,
1963,Aug,"8,730",,,,,,,,,,,,,,,,,
1964,Aug,"8,549",,,,,,,,,,,,,,,,,
1965,Aug,"8,418",,,,,,,,,,,,,,,,,
1966,Aug,"8,526",,,,,,,,,,,,,,,,,
1967,Aug,"8,002",,,,,,,,,,,,,,,,,
1968,Aug,"7,920",,,,,,,,,,,,,,,,,
1969,Aug,"7,245",,,,,,,,,,,,,,,,,
1970,Aug,"7,021",,,,,,,,,,,,,,,,,
1971,Aug,"7,339",,4.1,,,,,,,,,,,,,,,
1972,Aug,"6,700",,4.3,,,,,,,,,,,,,,,
1973,Aug,"6,257",,3.7,,,,,,,,,,,,,,,
1974,Aug,"5,986",,3.7,,,,,,,,,,,,,,,
1975,Aug,"5,606",,4.5,,,,,,,,,,,,,,,
1976,Aug,"5,346",,5.4,,,,,,,,,,,,,,,
1977,Aug,"5,507",,5.6,,,,,,,,,,,,,,,
1978,Aug,"5,681",,5.5,,,,,,,,,,,,,,,
1979,Aug,"5,982",,5.4,,,,,,,,,,,,,,,
1980,Aug,"5,605",,6.8,,,,,,,,,,,,,,,
1981,Aug,"5,745",,9.6,,,,,,,,,,,,,,,
1982,Aug,"5,693",,10.7,,,,,,,,,,,,,,,
1983,Aug,"5,873",,11.5,,,,,,,,,,,,,,,
1984,Aug,"5,853",,11.8,,,,,,,,,,,,,,,
1985,Aug,"5,788",,11.4,,,,,,,,,,,,,,,
1986,Aug,"5,339",,11.3,,,,,,,,,,,,,,,
1987,Aug,"5,540",,10.4,,,,,,,,,,,,,,,
1988,Aug,"5,827",,8.6,,,,,,,,,,,,,,,
1989,Aug,"5,529",,7.2,,,,,,,,,,,,,,,
1990,Aug,"5,816",,7.1,,,,,,,,,,,,,,,
1991,Aug,"5,735",,8.9,,,,,,,,,,,,,,,
1992,Aug,"5,381",,9.9,,,,,,,,,,,,,,,
1993,Aug,"5,519",,10.4,,,,,,,,,,,,,,,
1994,Aug,"5,336",,9.5,,,,,,,,,,,,,,,
1995,Aug,"5,297",,8.6,,,,,,,,,,,,,,,
1996,Aug,"5,172",,8.1,,,,,,,,,,,,,,,
1997,Aug,"4,890",,6.9,,,,,,,,,,,,,,,
1998,Aug,"4,800",71.238,6.2,,,,,,,,,,,,,,1845757.0,0.539
1999,Aug,"4,789",72.097,6.0,,,,,,,,,,,,,,1856330.0,0.546
2000,Aug,"4,580",72.526,5.4,,,,,,,,,,,,,,1990625.0,0.558
2001,Aug,"4,508",73.852,5.1,,,,,,,,,,,,,,2086075.0,0.562
2002,Aug,"4,421",74.586,5.2,,,,,,,,,,,,,,2175115.0,0.566
2003,Aug,"4,491",75.623,5.0,,,,,,,,,,,,,,2247440.0,0.569
2004,Aug,"4,602",76.602,4.8,,,,,,,,,,,,,,2287540.0,0.571
2005,Aug,"5,123",78.449,4.8,,,,,,,,,,,,,,2423590.0,57.3
2006,Aug,"5,033",80.394,5.4,,,,,,,,,,,,,,2478425.0,57.2
2007,Aug,"5,296",81.818,5.3,,,,,,,,,,,,,,2399795.0,56.9
2008,Aug,"4,977",85.673,5.7,,,,,,,,,,,,,,2465185.0,56.6
2009,Aug,"4,999",87.047,7.6,,,,,,,,,,,,,,25510341.0,56.7
2010,Aug,"5,065",89.764,7.9,57041.0,57696.0,20.7364501448076,1.09533175740296,23.841764929631,26.5,7.1,92.9,10.7842799572899,7.53619665983819,80.1968681642998,12.2669351758619,,2560000.0,0.564
2011,Aug,"5,398",93.81,8.1,57371.0,57952.0,21.1977090121632,1.40390310036034,24.523047193225,27.7,7.2,92.8,10.0769550748752,7.4105445116681,79.8254105445116,12.7640449438202,,2500000.0,56.4
2012,Aug,"5,149",96.134,7.9,55820.0,56406.0,21.0856690023356,2.14327657075748,26.2228818027376,27.3,7.2,92.8,12.0133903920485,7.09116449439001,80.0778818969042,12.8309536087057,,2340275.0,0.562
2013,Aug,"4,890",98.72,7.6,54709.0,55274.0,21.5330680310782,2.60000749821917,28.5579736283114,29.3,7.4,92.6,11.8285288799063,6.90043604651162,80.4142441860465,12.6853197674418,,2299355.0,56.42
2014,Aug,"4,785",100.249,6.2,54725.0,55365.0,21.6471378461079,2.88055810813345,30.5282258064516,30.2,7.7,92.3,11.157144407859,6.53032260412307,80.5072872504958,12.9623901453811,,2280830.0,56.5
2015,Aug,"4,707",100.257,5.4,53981.0,54572.0,22.7280483874025,3.02900547343336,32.4298931802863,31.2,8.2,91.8,11.144224690689,5.94506852599929,80.6411746260122,13.4137568479884,,2315840.0,56.9
2016,Aug,"4,977",100.898,4.9,53045.0,53644.0,23.7139561707035,3.34110334110334,33.5913474613501,31.7,8.3,91.7,12.3231693908964,5.85373213140723,80.8037566476822,13.3425112209104,,2378020.0,57.1
2017,Aug,"4,997",103.785,4.4,51415.0,51937.0,24.2762897754469,3.94683523786368,35.0991239210452,32.6,8.3,91.7,11.9845649094027,5.68700058468134,80.6548431105047,13.6581563048138,,2343095.0,56.7
2018,Aug,"4,657",106.538,4.1,49977.0,50559.0,24.8405695815497,5.3534707307042,33.9263613861386,33.5,8.6,91.4,11.6159963032135,5.17785228242109,81.0740571745987,13.7480905429801,,2383970.0,56.43
2019,Aug,"4,417",108.375,3.8,48088.0,48648.0,25.0352026105808,5.46910311874475,34.3183636155867,34.4,8.4,91.6,11.315492790601,5.25621741907568,80.870747738652,13.8730348422722,,2552000.0,56.5
2020,Aug,"6,304",108.613,4.6,45715.0,46188.0,25.9100002299432,6.30839022637441,34.3754498776332,36.0,8.1,91.9,10.7856438085841,4.95380210818548,80.4016830781243,14.6445148136901,,2751865.0,56.2
2021,Aug,"4,158",112.085,4.6,47113.0,47571.0,27.2210821903013,7.94460330331612,34.3500834414982,37.5,8.1,91.9,9.46133194769204,4.78096040438079,80.4001684919966,14.8188711036225,,2865194.0,56.7
2022,Aug,"4,054",123.148,3.8,44714.0,45217.0,27.918132395267,8.14410529389304,35.2116466846097,39.2,8.4,91.6,9.31029408673351,4.99867056633874,81.0489231587343,13.9524062749268,,2937155.0,56.9
2023,Aug,"4,434",131.346,4.1,,,,,,,,,,,,,,,
2020,Aug,,108.613,4.6,45715.0,46188.0,25.9100002299432,6.30839022637441,34.3754498776332,36.0,8.1,91.9,10.7856438085841,4.95380210818548,80.4016830781243,14.6445148136901,,2751865.0,56.2
2024,Aug,,134.257,4.3,,,,,,,,,,,,,,,
1954,Sept,"7,093",,,,,,,,,,,,,,,,,
1955,Sept,"7,233",,,,,,,,,,,,,,,,,
1956,Sept,"7,099",,,,,,,,,,,,,,,,,
1957,Sept,"7,408",,,,,,,,,,,,,,,,,
1958,Sept,"8,005",,,,,,,,,,,,,,,,,
1959,Sept,"7,699",,,,,,,,,,,,,,,,,
1960,Sept,"8,018",,,,,,,,,,,,,,,,,
1961,Sept,"8,218",,,,,,,,,,,,,,,,,
1962,Sept,"8,021",,,,,,,,,,,,,,,,,
1963,Sept,"7,976",,,,,,,,,,,,,,,,,
1964,Sept,"8,206",,,,,,,,,,,,,,,,,
1965,Sept,"7,866",,,,,,,,,,,,,,,,,
1966,Sept,"8,139",,,,,,,,,,,,,,,,,
1967,Sept,"7,320",,,,,,,,,,,,,,,,,
1968,Sept,"7,567",,,,,,,,,,,,,,,,,
1969,Sept,"7,297",,,,,,,,,,,,,,,,,
1970,Sept,"6,914",,,,,,,,,,,,,,,,,
1971,Sept,"6,840",,4.1,,,,,,,,,,,,,,,
1972,Sept,"6,264",,4.3,,,,,,,,,,,,,,,
1973,Sept,"5,607",,3.7,,,,,,,,,,,,,,,
1974,Sept,"5,605",,3.7,,,,,,,,,,,,,,,
1975,Sept,"5,548",,4.5,,,,,,,,,,,,,,,
1976,Sept,"5,086",,5.4,,,,,,,,,,,,,,,
1977,Sept,"5,224",,5.6,,,,,,,,,,,,,,,
1978,Sept,"5,378",,5.5,,,,,,,,,,,,,,,
1979,Sept,"5,085",,5.4,,,,,,,,,,,,,,,
1980,Sept,"5,633",,6.8,,,,,,,,,,,,,,,
1981,Sept,"5,573",,9.6,,,,,,,,,,,,,,,
1982,Sept,"5,462",,10.7,,,,,,,,,,,,,,,
1983,Sept,"5,512",,11.5,,,,,,,,,,,,,,,
1984,Sept,"5,200",,11.8,,,,,,,,,,,,,,,
1985,Sept,"5,415",,11.4,,,,,,,,,,,,,,,
1986,Sept,"5,563",,11.3,,,,,,,,,,,,,,,
1987,Sept,"5,525",,10.4,,,,,,,,,,,,,,,
1988,Sept,"5,513",,8.6,,,,,,,,,,,,,,,
1989,Sept,"5,187",,7.2,,,,,,,,,,,,,,,
1990,Sept,"5,160",,7.1,,,,,,,,,,,,,,,
1991,Sept,"5,435",,8.9,,,,,,,,,,,,,,,
1992,Sept,"5,524",,9.9,,,,,,,,,,,,,,,
1993,Sept,"5,368",,10.4,,,,,,,,,,,,,,,
1994,Sept,"5,095",,9.5,,,,,,,,,,,,,,,
1995,Sept,"4,830",,8.6,,,,,,,,,,,,,,,
1996,Sept,"4,703",,8.1,,,,,,,,,,,,,,,
1997,Sept,"4,989",,6.9,,,,,,,,,,,,,,,
1998,Sept,"4,911",71.548,6.2,,,,,,,,,,,,,,1845757.0,0.539
1999,Sept,"4,600",72.387,6.0,,,,,,,,,,,,,,1856330.0,0.546
2000,Sept,"4,425",73.083,5.4,,,,,,,,,,,,,,1990625.0,0.558
2001,Sept,"4,076",74.054,5.1,,,,,,,,,,,,,,2086075.0,0.562
2002,Sept,"4,158",74.789,5.2,,,,,,,,,,,,,,2175115.0,0.566
2003,Sept,"4,480",75.858,5.0,,,,,,,,,,,,,,2247440.0,0.569
2004,Sept,"4,640",76.678,4.8,,,,,,,,,,,,,,2287540.0,0.571
2005,Sept,"4,666",78.565,4.8,,,,,,,,,,,,,,2423590.0,57.3
2006,Sept,"4,485",80.46,5.4,,,,,,,,,,,,,,2478425.0,57.2
2007,Sept,"4,562",81.875,5.3,,,,,,,,,,,,,,2399795.0,56.9
2008,Sept,"5,115",86.142,5.7,,,,,,,,,,,,,,2465185.0,56.6
2009,Sept,"4,924",87.083,7.6,,,,,,,,,,,,,,25510341.0,56.7
2010,Sept,"4,933",89.765,7.9,57041.0,57696.0,20.7364501448076,1.09533175740296,23.841764929631,26.5,7.1,92.9,10.7842799572899,7.53619665983819,80.1968681642998,12.2669351758619,,2560000.0,0.564
2011,Sept,"4,960",94.413,8.1,57371.0,57952.0,21.1977090121632,1.40390310036034,24.523047193225,27.7,7.2,92.8,10.0769550748752,7.4105445116681,79.8254105445116,12.7640449438202,,2500000.0,56.4
2012,Sept,"4,527",96.492,7.9,55820.0,56406.0,21.0856690023356,2.14327657075748,26.2228818027376,27.3,7.2,92.8,12.0133903920485,7.09116449439001,80.0778818969042,12.8309536087057,,2340275.0,0.562
2013,Sept,"4,445",99.07,7.6,54709.0,55274.0,21.5330680310782,2.60000749821917,28.5579736283114,29.3,7.4,92.6,11.8285288799063,6.90043604651162,80.4142441860465,12.6853197674418,,2299355.0,56.42
2014,Sept,"4,986",100.285,6.2,54725.0,55365.0,21.6471378461079,2.88055810813345,30.5282258064516,30.2,7.7,92.3,11.157144407859,6.53032260412307,80.5072872504958,12.9623901453811,,2280830.0,56.5
2015,Sept,"4,819",100.16,5.4,53981.0,54572.0,22.7280483874025,3.02900547343336,32.4298931802863,31.2,8.2,91.8,11.144224690689,5.94506852599929,80.6411746260122,13.4137568479884,,2315840.0,56.9
2016,Sept,"4,672",101.138,4.9,53045.0,53644.0,23.7139561707035,3.34110334110334,33.5913474613501,31.7,8.3,91.7,12.3231693908964,5.85373213140723,80.8037566476822,13.3425112209104,,2378020.0,57.1
2017,Sept,"4,297",104.131,4.4,51415.0,51937.0,24.2762897754469,3.94683523786368,35.0991239210452,32.6,8.3,91.7,11.9845649094027,5.68700058468134,80.6548431105047,13.6581563048138,,2343095.0,56.7
2018,Sept,"3,948",106.65,4.1,49977.0,50559.0,24.8405695815497,5.3534707307042,33.9263613861386,33.5,8.6,91.4,11.6159963032135,5.17785228242109,81.0740571745987,13.7480905429801,,2383970.0,56.43
2019,Sept,"4,147",108.479,3.8,48088.0,48648.0,25.0352026105808,5.46910311874475,34.3183636155867,34.4,8.4,91.6,11.315492790601,5.25621741907568,80.870747738652,13.8730348422722,,2552000.0,56.5
2020,Sept,"5,835",109.056,4.6,45715.0,46188.0,25.9100002299432,6.30839022637441,34.3754498776332,36.0,8.1,91.9,10.7856438085841,4.95380210818548,80.4016830781243,14.6445148136901,,2751865.0,56.2
2021,Sept,"4,377",112.415,4.6,47113.0,47571.0,27.2210821903013,7.94460330331612,34.3500834414982,37.5,8.1,91.9,9.46133194769204,4.78096040438079,80.4001684919966,14.8188711036225,,2865194.0,56.7
2022,Sept,"4,052",123.764,3.8,44714.0,45217.0,27.918132395267,8.14410529389304,35.2116466846097,39.2,8.4,91.6,9.31029408673351,4.99867056633874,81.0489231587343,13.9524062749268,,2937155.0,56.9
2023,Sept,"3,674",131.997,4.1,,,,,,,,,,,,,,,
